experiment,model,fold,run_id,params,best_epoch,MAE,MSE,CC_temporal,CC_spectral,RRMSE_temporal,RRMSE_spectral,R2,peak_F1,peak_precision,peak_recall,peak_accuracy,peak_missed_rate,peak_timing_err_ms_median,MAE_mean_hr_bpm,MAE_rmssd_ms
A_valsalva,unet,1,A_valsalva__unet__f1,12210881,25,0.20329080023447105,0.0583325500589313,39.69625287135937,74.94129005956553,0.5303767234407605,0.730101984516148,-1.2994906613623243,0.610997541255149,0.8143354968660936,0.4972137431076421,0.47880729673990974,0.5027862568923579,31.25,5.700307317332171,306.4787170645752
A_valsalva,unet,2,A_valsalva__unet__f2,12210881,3,0.17448574847418893,0.04381978878777217,-1.0689781153880056,7.470732556282606,0.5544001905547182,0.9996994787298584,-0.6213233616181332,0.04774581866354591,0.2571183813131967,0.0264221425600578,0.02447400720950972,0.9735778574399422,57.291666666666664,18.37286156162106,742.1228647503598
A_valsalva,unet,3,A_valsalva__unet__f3,12210881,10,0.15897642095375014,0.037731111594314345,2.6767123326764466,16.11254530222206,0.5575066326406336,0.9913515659173324,-0.42765568130176207,0.11117882552701248,0.19778296489585417,0.08537258386720138,0.059921306131765065,0.9146274161327987,56.25,25.847291684142874,412.4257079545334
A_valsalva,unet,4,A_valsalva__unet__f4,12210881,19,0.17011661540204923,0.04546850185852924,54.24528912923236,87.3888464426635,0.5447286795616263,0.7813652556441025,-1.6227040799378545,0.871253239351573,0.9831915709695084,0.7838350082999492,0.7751183618047208,0.2161649917000507,15.625,2.1289951787348516,108.2398087362698
B_rva,fpn,0,B_rva__fpn__f0,2237313,17,0.15420973475125893,0.035569842974850586,58.75005234873069,80.13983748805255,0.5854845575608969,0.6315771822685603,-0.7831902276176751,0.6953921768308191,0.8649537705424093,0.5932075406969259,0.5654316196225775,0.406792459303074,14.016544117647058,7.881753989162412,263.94067134206813
B_rva,fpn,1,B_rva__fpn__f1,2237313,5,0.18471894550118376,0.05484070691183299,29.38334902610922,75.37862972485195,0.5424906357528319,0.913066803491525,-1.0949627360090757,0.06754497348358508,0.10562559225294,0.05399926862050093,0.035164879848291176,0.9460007313794991,55.6640625,19.259067165302035,436.00323538267014
B_rva,fpn,2,B_rva__fpn__f2,2237313,17,0.16189492628490415,0.04288981003568206,64.4292844923248,86.23161586995258,0.49497979312546453,0.667479964907996,-0.6372345680843781,0.6980580864980962,0.8905120532984966,0.5871507718046565,0.5509931847548859,0.41284922819534353,23.667279411764707,8.352943152490374,364.65167489433134
B_rva,fpn,3,B_rva__fpn__f3,2237313,7,0.12659338375635373,0.0269972220802432,50.50463820200595,81.43702812709398,0.47346842643555975,0.7629616286028227,-0.10171384296620663,0.057350838993415434,0.06658570600389824,0.050516978510687725,0.029868571731228834,0.9494830214893122,51.041666666666664,6.510330020793254,369.0328361009438
B_rva,fpn,4,B_rva__fpn__f4,2237313,20,0.15991045041763002,0.04182616944367457,63.301076497096716,90.08502863269526,0.4842591612722129,0.7383112710017216,-1.6596867708103045,0.856436377886891,0.9590609110579597,0.7853627053042924,0.7720423602444064,0.21463729469570764,11.474609375,2.391038893981031,134.9110089140392
B_rva,linknet,0,B_rva__linknet__f0,2775361,11,0.16710725358113146,0.03902636433059461,54.8383997421077,79.22751767355274,0.626082465506147,0.6922151832708764,-0.9177130431991768,0.6618315649357223,0.8413612347802645,0.560398967528465,0.5251704502363049,0.43960103247153504,18.841911764705884,9.129382683959443,284.23348987358867
