run_id,source_repo,experiment,variant,target_scale_recorded,comparison_scale,fold,params,best_epoch,gflops_per_window,forward_ms,MAE,MSE,CC_temporal,CC_spectral,RRMSE_temporal,RRMSE_spectral,R2,peak_F1,peak_precision,peak_recall,peak_accuracy,peak_missed_rate,peak_timing_err_ms_median,MAE_mean_hr_bpm,MAE_rmssd_ms,MAE_recorded,MSE_recorded
A_resting__fpn__f0,baselines,A_resting,fpn,"[0,1]","[0,1]",0,2237313,5,0.54788096,767.6162719726562,0.1483124943492659,0.03662232972111813,44.46012411303255,68.57703265130704,0.5620610473264995,0.6941345455369157,-0.6866562415039754,0.07909749359552694,0.1356374267414492,0.06150726833483003,0.04226185717132641,0.93849273166517,39.0625,17.958100146265682,442.2537288764003,0.1483124943492659,0.03662232972111813
A_resting__fpn__f1,baselines,A_resting,fpn,"[0,1]","[0,1]",1,2237313,68,0.54788096,989.7067546844482,0.19251176953181712,0.050637284617579596,49.1673894925615,89.5725001035863,0.5502486212824188,0.659156859046416,-0.8329787608750413,0.7325680445777562,0.9139056994547131,0.6232191954152512,0.6062034794460496,0.3767808045847489,20.833333333333332,2.437275752727453,269.66214526395396,0.19251176953181712,0.050637284617579596
A_resting__fpn__f2,baselines,A_resting,fpn,"[0,1]","[0,1]",2,2237313,25,0.54788096,989.7067546844482,0.15770043871322206,0.04282636949958122,55.71242453429227,84.24123971980309,0.4967665189048747,0.6943754482509752,-0.6067294727226615,0.4119857064216634,0.46348558524537503,0.38346515457778557,0.2723695496663387,0.6165348454222145,40.364583333333336,13.037349125193664,381.78037782457733,0.15770043871322206,0.04282636949958122
A_resting__fpn__f3,baselines,A_resting,fpn,"[0,1]","[0,1]",3,2237313,12,0.54788096,989.7067546844482,0.12718187837999959,0.02745345495933467,43.029442375158354,74.7800587829516,0.466174277033344,0.8326910222428033,-0.13014078994256087,0.0420451974124044,0.057534811524062056,0.033997413821579454,0.021561501949304566,0.9660025861784206,47.526041666666664,4.862066677718054,419.84881493376446,0.12718187837999959,0.02745345495933467
A_resting__fpn__f4,baselines,A_resting,fpn,"[0,1]","[0,1]",4,2237313,16,0.54788096,989.7067546844482,0.17524840092366728,0.051229574900666985,43.94190525366507,84.48598631149477,0.5447457747810214,0.7353091998261776,-1.7721055972783124,0.6912728984764692,0.8414614512570142,0.5954759243882832,0.5864747138822054,0.40452407561171677,19.53125,3.132121209271027,259.2220305391239,0.17524840092366728,0.051229574900666985
A_resting__linknet__f0,baselines,A_resting,linknet,"[0,1]","[0,1]",0,2775361,31,0.4980736,30.09510040283203,0.19653536067221167,0.060546894850896205,46.643827262894966,69.50801905842326,0.7450005933664584,0.6867075017711003,-1.8101457477083005,0.5400128124938112,0.7263248121802611,0.44848132510653743,0.4069747306377693,0.5515186748934625,23.4375,10.088470477389391,382.8951415702202,0.19653536067221167,0.060546894850896205
A_resting__linknet__f1,baselines,A_resting,linknet,"[0,1]","[0,1]",1,2775361,31,0.4980736,30.09510040283203,0.19737089944021685,0.051917356557170426,45.049304623159685,86.61792535857212,0.5810264862740037,0.751190315874812,-0.8192018581182858,0.6369718642456066,0.8585980977343142,0.5103095857061092,0.4910430579716523,0.4896904142938909,22.135416666666668,4.292548143396691,323.3149893990423,0.19737089944021685,0.051917356557170426
A_resting__linknet__f2,baselines,A_resting,linknet,"[0,1]","[0,1]",2,2775361,29,0.4980736,30.09510040283203,0.1564496491781215,0.04142011675358166,50.35884529019573,84.02623012043517,0.5035294295110914,0.716626622174767,-0.5203086107479803,0.19096786511114064,0.24564382339366406,0.16291264921088291,0.11898955000502547,0.8370873507891169,46.223958333333336,16.15702087503455,352.68617249766635,0.1564496491781215,0.04142011675358166
A_resting__linknet__f3,baselines,A_resting,linknet,"[0,1]","[0,1]",3,2775361,16,0.4980736,30.09510040283203,0.12877095466853,0.027759920509040522,51.81384063323839,81.79419804061828,0.4714815054180536,0.6691406565505759,-0.12116594512928756,0.16359698567893058,0.15016838810034205,0.18096321298415066,0.09038976611911907,0.8190367870158491,41.666666666666664,18.967941531994253,309.7199397662674,0.12877095466853,0.027759920509040522
A_resting__linknet__f4,baselines,A_resting,linknet,"[0,1]","[0,1]",4,2775361,3,0.4980736,30.09510040283203,0.17431548091916046,0.05304305914720733,31.664309319896084,64.5149238828275,0.5623831161945488,1.154571123143241,-1.8746788729895292,0.15609638408834062,0.1345424578108064,0.24051124240640184,0.08704325154808724,0.7594887575935982,60.546875,46.994677983241736,339.3387975665166,0.17431548091916046,0.05304305914720733
A_resting__multireslinknet__f0,baselines,A_resting,multireslinknet,"[0,1]","[0,1]",0,9218556,6,3.478046464,61.01489067077637,0.15590237109577756,0.036282811500229224,50.17960199201121,71.36618325431377,0.5599278290132271,0.6038291765644795,-0.6501174958579761,0.6045820034561847,0.7762650781339806,0.5101080766607212,0.4897970466535773,0.48989192333927867,26.692708333333332,7.173553722197933,311.39097055739813,0.15590237109577756,0.036282811500229224
A_resting__multireslinknet__f1,baselines,A_resting,multireslinknet,"[0,1]","[0,1]",1,9218556,32,3.478046464,61.01489067077637,0.21011406941201924,0.05740350235173092,52.3691444317958,89.87142552481886,0.582184128781044,0.6083213210031966,-1.1143563754988601,0.7394229910270406,0.9740509896704613,0.6216646641996044,0.6142139699993484,0.3783353358003956,18.229166666666668,2.7761308427590756,232.77279453574548,0.21011406941201924,0.05740350235173092
A_resting__multireslinknet__f2,baselines,A_resting,multireslinknet,"[0,1]","[0,1]",2,9218556,9,3.478046464,61.01489067077637,0.15850649402229589,0.039703444314831325,51.93468109131373,83.63618801883793,0.5001824591115874,0.7963613190190313,-0.43972856014941075,0.11960693914638316,0.16289294052187467,0.09670329851223257,0.06850281887324881,0.9032967014877675,37.760416666666664,7.342305037257373,320.2259825171095,0.15850649402229589,0.039703444314831325
A_resting__multireslinknet__f3,baselines,A_resting,multireslinknet,"[0,1]","[0,1]",3,9218556,17,3.478046464,61.01489067077637,0.1197729988561584,0.02663349337459093,48.81618707104959,78.57819479418508,0.46291043063114506,0.8367018085287292,-0.06762673950619416,0.045557316839759006,0.05279940061181995,0.040463999667553076,0.023465356834469358,0.9595360003324468,41.015625,3.698155519162867,352.8420383216435,0.1197729988561584,0.02663349337459093
A_resting__multireslinknet__f4,baselines,A_resting,multireslinknet,"[0,1]","[0,1]",4,9218556,13,3.478046464,61.01489067077637,0.1682628720032953,0.045902680847394586,46.31734096704699,75.86065867038958,0.5451077018595574,0.706664752587386,-1.4975672246754217,0.7023601851200428,0.8350737389357658,0.6231496193561283,0.607119857029241,0.37685038064387166,26.041666666666668,3.676342511262939,256.97993613483266,0.1682628720032953,0.045902680847394586
A_resting__unet__f0,baselines,A_resting,unet,"[0,1]","[0,1]",0,12210881,10,2.793930752,51.39017105102539,0.16861822634077905,0.04195763480759415,48.223647570276455,69.6864749084431,0.6418019303000886,0.723094103451962,-0.975779847113211,0.49491122339641924,0.4657953745735724,0.5621167539803661,0.3554760769163094,0.43788324601963396,31.25,36.11504107843505,467.7112316554444,0.16861822634077905,0.04195763480759415
A_resting__unet__f1,baselines,A_resting,unet,"[0,1]","[0,1]",1,12210881,2,2.793930752,51.39017105102539,0.1845854997089252,0.052131533671480754,0.9968751275399003,-1.3772352938995691,0.5851390648792795,0.9999546202462296,-0.7829340218526175,0.04755667141759714,0.21215148471246034,0.0268145203902905,0.024364680631680593,0.9731854796097096,48.828125,,,0.1845854997089252,0.052131533671480754
A_resting__unet__f2,baselines,A_resting,unet,"[0,1]","[0,1]",2,12210881,3,2.793930752,51.39017105102539,0.1824173681963082,0.046610086739594804,0.2245073979988076,-4.149359408056606,0.5733348534094743,0.9999870636858829,-0.6059494545631731,0.04161523513296502,0.22503461467279595,0.02303007307327865,0.021276368266125084,0.9769699269267212,43.619791666666664,,,0.1824173681963082,0.046610086739594804
A_resting__unet__f3,baselines,A_resting,unet,"[0,1]","[0,1]",3,12210881,11,2.793930752,51.39017105102539,0.1463358022691327,0.03588335951528525,-1.015857479526886,6.087143929211252,0.533088841554831,0.9995895364182734,-0.4007780080331484,0.04328738215827508,0.21610735735735734,0.024076310446819738,0.0221446361124929,0.9759236895531802,46.875,12.833914284941883,722.6003443019615,0.1463358022691327,0.03588335951528525
A_resting__unet__f4,baselines,A_resting,unet,"[0,1]","[0,1]",4,12210881,48,2.793930752,51.39017105102539,0.1642265282897612,0.046147863462378605,53.955588038071475,75.97272243426133,0.5205676476767072,0.890212091201275,-1.5471346037837297,0.8514711411630261,0.931832974060021,0.7903618130763506,0.7657635331744626,0.20963818692364944,13.020833333333334,6.913767159463713,221.29446807399736,0.1642265282897612,0.046147863462378605
